Deploy,Time,Symbol,Price,Quantity,Type,Status,Value,Tag
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:02.8000953Z,UPS,114.07,11,"Market","Filled",1254.77,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:03.8002779Z,KO,80.9,6,"Market","Filled",485.4,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:03.8002779Z,GE,340.42,3,"Market","Filled",1021.26,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:04.8002096Z,LMT,677,1,"Market","Filled",677,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:05.8001187Z,ABBV,234.68,5,"Market","Filled",1173.4,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:06.8002491Z,MRK,122.66,4,"Market","Filled",490.64,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:07.8001384Z,CVX,189.62,7,"Market","Filled",1327.34,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:08.8002704Z,COP,118.35,11,"Market","Filled",1301.85,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:08.8002704Z,XOM,155.44,8,"Market","Filled",1243.52,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:10.8000767Z,LLY,1051.33,1,"Market","Filled",1051.33,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:10.8000767Z,HD,372.02,1,"Market","Filled",372.02,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:11.8002633Z,MCD,340.06,3,"Market","Filled",1020.18,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:11.8002633Z,RTX,209.94,6,"Market","Filled",1259.64,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:12.8001201Z,PEP,168.94,3,"Market","Filled",506.82,"" 
L-dc3dba1babb2e42b67a469df3c511cb1,2026-03-02T15:00:12.8001201Z,CAT,739.13,1,"Market","Filled",739.13,"" 
